year,state_abbreviation,stage,special,candidate_name,party_detailed,party_simplified,writein,total_votes,votes,percent_votes,won
1980,CT,gen,0,JAMES L. BUCKLEY,REPUBLICAN,REPUBLICAN,0,1356075,581884,42.90942610106373,0
1980,CT,gen,0,LOUIS ZEMEL,CITIZENS,OTHER,0,1356075,4772,0.351897940748115,0
1980,FL,gen,0,BILL GUNTER,DEMOCRAT,DEMOCRAT,0,3528028,1705409,48.33887372775953,0
1980,FL,gen,0,PAULA HAWKINS,REPUBLICAN,REPUBLICAN,0,3528028,1822460,51.656619505287374,1
1980,GA,gen,0,HERMAN E. TALMADGE,DEMOCRAT,DEMOCRAT,0,1579829,776143,49.12829173283944,0
1980,GA,gen,0,MACK MATTINGLY,REPUBLICAN,REPUBLICAN,0,1579829,803686,50.871708267160564,1
1980,HI,gen,0,BUD SHASTEEN,LIBERTARIAN,LIBERTARIAN,0,288006,10453,3.629438275591481,0
1980,HI,gen,0,COOPER BROWN,REPUBLICAN,REPUBLICAN,0,288006,53068,18.426005013784437,0
1980,HI,gen,0,DANIEL K. INOUYE,DEMOCRAT,DEMOCRAT,0,288006,224485,77.94455671062408,1
1980,ID,gen,0,FRANK CHURCH,DEMOCRAT,DEMOCRAT,0,439647,214439,48.775267430461255,0
1980,ID,gen,0,LARRY FULLMER,LIBERTARIAN,LIBERTARIAN,0,439647,6507,1.480051040948761,0
1980,ID,gen,0,STEVE SYMMS,REPUBLICAN,REPUBLICAN,0,439647,218701,49.744681528589986,1
1980,IL,gen,0,ALAN J. DIXON,DEMOCRAT,DEMOCRAT,0,4580029,2565302,56.01060604638093,1
1980,IL,gen,0,BRUCE GREEN,LIBERTARIAN,LIBERTARIAN,0,4580029,29328,0.6403452903900827,0
1980,IL,gen,0,BURTON LEE ARTZ,SOCIALIST WORKERS,OTHER,0,4580029,2715,0.059279100634515636,0
1980,IL,gen,0,CHARLES F. WILSON,COMMUNIST,OTHER,0,4580029,11453,0.2500639188092477,0
1980,IL,gen,0,DAVID C. O'NEAL,REPUBLICAN,REPUBLICAN,0,4580029,1946296,42.49527677663176,0
1980,IL,gen,0,MICHAEL SORIANO,WORKERS WORLD,OTHER,0,4580029,5626,0.12283765015461692,0
1980,IL,gen,0,SIDNEY LENS,CITIZENS,OTHER,0,4580029,19213,0.4194951604018228,0
